Date,Open,High,Low,Close,Volume,Adj Close
11/2/2010,1187.85,1195.88,1187.85,1193.56,386.62,1193.56
11/3/2010,1193.79,1198.3,1183.56,1197.95,466.54,1197.95
11/4/2010,1198.33,1221.25,1198.33,1221.06,569.54,1221.06
11/5/2010,1221.19,1227.07,1220.29,1225.84,563.74,1225.84
11/8/2010,1223.23,1224.56,1217.55,1223.25,393.72,1223.25
11/9/2010,1223.58,1226.83,1208.93,1213.4,484.8,1213.4
11/10/2010,1213.14,1218.75,1204.32,1218.7,456.13,1218.7
11/11/2010,1213.04,1215.44,1204.48,1213.54,393.11,1213.54
11/12/2010,1209.06,1210.5,1194.07,1199.2,421.36,1199.2
11/15/2010,1200.43,1207.43,1197.15,1197.75,350.33,1197.75
11/16/2010,1194.79,1194.79,1173,1178.33,511.63,1178.33
11/17/2010,1178.32,1183.56,1175.81,1178.58,390.47,1178.58
11/18/2010,1183.75,1200.29,1183.75,1196.68,468.72,1196.68
11/19/2010,1196.11,1199.96,1189.43,1199.72,367.53,1199.72
11/22/2010,1198.06,1198.93,1184.57,1197.83,368.95,1197.83
11/23/2010,1192.51,1192.51,1176.91,1180.72,413.3,1180.72
11/24/2010,1183.69,1198.61,1183.69,1198.34,338.42,1198.34
11/26/2010,1194.16,1194.16,1186.93,1189.4,161.38,1189.4
11/29/2010,1189.07,1190.33,1173.64,1187.76,367.34,1187.76
11/30/2010,1182.95,1187.4,1174.14,1180.55,428.47,1180.55
12/1/2010,1186.59,1207.6,1186.59,1206.06,454.81,1206.06
12/2/2010,1206.81,1221.89,1206.81,1221.53,497.08,1221.53
12/3/2010,1219.93,1225.56,1216.81,1224.7,373.57,1224.7
12/6/2010,1223.86,1225.8,1220.67,1223.11,352.73,1223.11
12/7/2010,1227.25,1235.05,1223.25,1223.75,697.06,1223.75
12/8/2010,1225.02,1228.93,1219.5,1228.28,460.75,1228.28
12/9/2010,1230.14,1234.7,1226.84,1233,452.25,1233
12/10/2010,1233.84,1240.4,1232.57,1240.4,454.73,1240.4
12/13/2010,1242.52,1246.72,1240.33,1240.45,436.12,1240.45
12/14/2010,1241.83,1246.58,1238.17,1241.58,413.23,1241.58
12/15/2010,1241.57,1244.25,1234.01,1235.22,440.73,1235.22
12/16/2010,1236.33,1243.75,1232.84,1242.86,473.68,1242.86
12/17/2010,1243.63,1245.81,1239.86,1243.91,463.24,1243.91
12/20/2010,1245.76,1250.19,1241.51,1247.07,354.81,1247.07
12/21/2010,1249.43,1255.81,1249.43,1254.59,347.96,1254.59
12/22/2010,1254.93,1259.39,1254.93,1258.83,128.55,1258.83
12/23/2010,1257.53,1258.58,1254.05,1256.77,251.5,1256.77
12/27/2010,1254.66,1258.43,1251.47,1257.54,199.24,1257.54
12/28/2010,1259.09,1259.9,1256.21,1258.51,247.84,1258.51
12/29/2010,1258.78,1262.59,1258.78,1259.78,221.43,1259.78
12/30/2010,1259.43,1261.08,1256.31,1257.88,197.07,1257.88
12/31/2010,1256.76,1259.33,1254.18,1257.64,179.97,1257.64
1/3/2011,1257.61,1276.17,1257.61,1271.86,428.66,1271.86
1/4/2011,1272.94,1274.11,1262.66,1270.19,479.64,1270.19
1/5/2011,1268.78,1277.63,1265.35,1276.56,476.49,1276.56
1/6/2011,1276.29,1278.17,1270.43,1273.84,484.41,1273.84
1/7/2011,1274.41,1276.82,1261.69,1271.5,496.31,1271.5
1/10/2011,1270.83,1271.52,1262.18,1269.75,403.64,1269.75
1/11/2011,1272.57,1277.25,1269.61,1274.47,405.07,1274.47
1/12/2011,1275.65,1286.86,1275.65,1285.95,422.69,1285.95
1/13/2011,1285.78,1286.69,1280.46,1283.76,431.08,1283.76
1/14/2011,1282.9,1293.23,1281.23,1293.23,466.15,1293.23
1/18/2011,1293.21,1296.06,1290.16,1295.02,528.49,1295.02
1/19/2011,1294.52,1294.59,1278.92,1281.92,474.37,1281.92
1/20/2011,1280.84,1283.34,1271.26,1280.26,493.53,1280.26
1/21/2011,1283.63,1291.2,1282.06,1283.34,493.53,1283.34
1/24/2011,1283.29,1291.93,1282.46,1290.83,390.24,1290.83
1/25/2011,1288.17,1291.26,1281.06,1291.18,459.53,1291.18
1/26/2011,1291.96,1299.73,1291.96,1296.63,473.09,1296.63
